date,Upper BBand,Lower BBand,Middle BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-01-22 11:00:00,15.7183,12.3636,14.041,13.9162,35.874,14.041,-0.5187,-0.4881,13.3102
2021-01-22 10:00:00,15.8722,12.3671,14.1196,13.958,34.5127,14.1196,-0.5263,-0.5277,13.22
2021-01-22 09:00:00,16.0327,12.3819,14.2073,14.0089,28.671,14.2073,-0.5259,-0.5613,12.86
2021-01-22 08:00:00,16.1536,12.4603,14.307,14.0881,28.809,14.307,-0.5171,-0.5593,12.88
2021-01-22 07:00:00,16.2345,12.5674,14.401,14.1714,29.6364,14.401,-0.5065,-0.5507,13.0
2021-01-22 06:00:00,16.3032,12.6774,14.4903,14.2522,27.9699,14.4903,-0.4955,-0.544,12.9
2021-01-22 05:00:00,16.3367,12.8246,14.5806,14.3455,28.6925,14.5806,-0.4834,-0.5173,13.01
2021-01-21 20:00:00,16.3624,12.9735,14.668,14.4376,33.2183,14.668,-0.4749,-0.4869,13.6101
2021-01-21 19:00:00,16.4136,13.055,14.7343,14.4946,33.5585,14.7343,-0.4719,-0.5021,13.65
2021-01-21 18:00:00,16.4742,13.1357,14.805,14.5529,32.8925,14.805,-0.4643,-0.5183,13.61
2021-01-21 17:00:00,16.5098,13.2375,14.8736,14.6179,32.4012,14.8736,-0.4509,-0.5273,13.58
2021-01-21 16:00:00,16.5455,13.3511,14.9483,14.6895,32.1016,14.9483,-0.4317,-0.5281,13.5613
2021-01-21 15:00:00,16.5714,13.4804,15.0259,14.7673,33.1942,15.0259,-0.4076,-0.5196,13.705
2021-01-21 14:00:00,16.5735,13.61,15.0918,14.8406,30.0723,15.0918,-0.3797,-0.5157,13.51
2021-01-21 13:00:00,16.5315,13.7913,15.1614,14.9323,31.0803,15.1614,-0.3456,-0.4835,13.65
2021-01-21 12:00:00,16.5033,13.9648,15.2341,15.0208,32.5099,15.2341,-0.3112,-0.4495,13.84
2021-01-21 11:00:00,16.474,14.1255,15.2998,15.1022,29.0042,15.2998,-0.2766,-0.419,13.629
2021-01-21 10:00:00,16.3825,14.3624,15.3725,15.2038,30.0023,15.3725,-0.241,-0.3525,13.7688
