date,Lower BBBAND,Middle BBAND,Upper BBAND,EMA,RSI,SMA,MACD,MACD_Signal,Closing Price
2021-02-03 06:00:00,63.9424,67.2377,70.5329,67.3557,52.4056,67.2377,0.7298,0.5817,69.2
2021-02-03 05:00:00,63.9058,67.181,70.4562,67.2932,52.0281,67.181,0.7029,0.5447,69.02
2021-02-02 20:00:00,63.8397,67.1175,70.3953,67.2347,51.1389,67.1175,0.6767,0.5052,68.6
2021-02-02 19:00:00,63.7854,67.0658,70.3463,67.1884,50.9259,67.0658,0.6761,0.4623,68.5
2021-02-02 18:00:00,63.7437,67.0198,70.2959,67.1439,51.4107,67.0198,0.6758,0.4089,68.72
2021-02-02 17:00:00,63.7203,66.9753,70.2303,67.0905,51.3281,66.9753,0.6432,0.3421,68.6801
2021-02-02 16:00:00,63.6973,66.9308,70.1643,67.0366,51.3494,66.9308,0.5962,0.2669,68.69
2021-02-02 15:00:00,63.6828,66.889,70.0952,66.9806,51.498,66.889,0.5266,0.1845,68.76
2021-02-02 14:00:00,63.6582,66.8392,70.0203,66.9203,50.3266,66.8392,0.4229,0.099,68.18
2021-02-02 13:00:00,63.6613,66.8286,69.9958,66.8776,50.1103,66.8286,0.3435,0.018,68.0741
2021-02-02 12:00:00,63.6607,66.8122,69.9636,66.837,50.5723,66.8122,0.248,-0.0633,68.3
2021-02-02 11:00:00,63.6551,66.7832,69.9112,66.7874,48.9857,66.7832,0.0994,-0.1412,67.525
2021-02-02 10:00:00,63.6541,66.7889,69.9237,66.7624,47.8276,66.7889,-0.0128,-0.2013,66.98
2021-02-02 09:00:00,63.6217,66.7679,69.9141,66.755,46.7368,66.7679,-0.1002,-0.2485,66.48
2021-02-02 08:00:00,63.578,66.7474,69.9168,66.7644,46.2283,66.7474,-0.1595,-0.2855,66.25
2021-02-02 07:00:00,63.5506,66.7344,69.9182,66.7818,45.2221,66.7344,-0.2095,-0.317,65.8
2021-02-02 06:00:00,63.5617,66.7401,69.9184,66.8151,45.5574,66.7401,-0.2243,-0.3439,65.98
2021-02-02 05:00:00,63.5759,66.7487,69.9216,66.8434,45.5574,66.7487,-0.2584,-0.3738,65.98
2021-02-01 20:00:00,63.5941,66.7607,69.9273,66.8727,45.4488,66.7607,-0.2981,-0.4026,65.93
2021-02-01 19:00:00,63.6152,66.7744,69.9336,66.9046,45.0607,66.7744,-0.3393,-0.4288,65.75
2021-02-01 18:00:00,63.6431,66.7911,69.939,66.9437,45.0607,66.7911,-0.3687,-0.4511,65.75
2021-02-01 17:00:00,63.6723,66.8086,69.9448,66.9842,45.0607,66.8086,-0.4009,-0.4717,65.75
2021-02-01 16:00:00,63.6946,66.8202,69.9458,67.0261,45.0607,66.8202,-0.4361,-0.4895,65.75
2021-02-01 15:00:00,63.7188,66.8331,69.9473,67.0693,44.9182,66.8331,-0.4747,-0.5028,65.68
2021-02-01 14:00:00,63.7495,66.8496,69.9496,67.1164,44.4323,66.8496,-0.5099,-0.5098,65.44
2021-02-01 13:00:00,63.7934,66.8717,69.9501,67.1732,44.3418,66.8717,-0.523,-0.5098,65.395
